k,H,alpha,eta
3.934352958900279029e-01,2.590756722067472317e+00,1.977482551731871041e+00,3.461412672299935434e+00
3.758894176119742525e-01,8.856949604572952328e-01,1.347274093799392780e+00,3.801812043273816055e+00
3.349326256509168154e+00,3.263050770643411091e+00,4.815248156251306089e-01,1.475412537501992105e+01
2.010242187148790105e+00,2.250860631569185699e+00,1.476505126116048672e+00,1.334127010535262237e+01
3.624632041687170680e+00,3.330625926900191658e+00,4.607706356856993146e-01,9.983309842266777423e+00
6.767097355016107318e-01,2.913495363576172004e+00,7.908267809543325644e-01,6.470014693233416825e-01
2.781498895859938703e+00,2.311046221791178468e+00,7.769790352592202964e-01,1.257379409273963189e+00
4.978921676297325405e+00,2.666397573538277777e-01,5.904233615022884685e-01,7.212218784851151199e+00
3.822281413344202239e+00,2.661292155437604556e+00,1.092252853268993018e+00,1.115236315530437849e+01
4.873036255652768212e+00,1.546152316552245942e+00,1.260666230293571166e+00,2.157405271272979874e+00
4.624274647117696979e+00,1.138456902500013523e+00,2.522799816830354480e-01,1.191870207267951720e+01
4.365347415949984544e+00,9.780961931635075990e-01,1.443384052629474557e+00,1.056479370887912772e+01
2.363574707108103912e+00,3.401906755895724110e+00,7.709471572738035849e-01,7.659756627810932805e+00
1.762165056559614473e-01,3.226405132357359040e+00,1.757805144502276429e+00,5.580361809615151714e+00
2.292270337508483635e+00,2.010951639412355441e+00,1.881099077007889919e+00,1.388356831825345772e+01
4.978527761397294471e-01,1.267462019848791144e+00,6.379109630926798058e-01,1.031048428923422478e+01
3.893396496825230813e+00,6.297240471742934220e-01,1.206421152906241190e+00,2.666927089147532293e+00
3.596019064615950889e+00,6.459683523562924634e-01,2.967963195866785142e-03,1.327055997979915247e+01
5.429522741965007171e-01,1.100745126676437868e+00,1.430100167692736512e+00,3.162646455024695769e+00
4.798252624514676157e+00,1.314367113484997462e+00,5.482125309193581764e-01,1.179980205222357803e+00
4.189825043378297309e+00,4.723450107234567596e+00,4.125331531985498845e-01,1.570491628938111450e+00
3.734236436615654409e+00,1.740636018257478490e+00,1.827641130424273230e+00,1.332587034309209884e+01
